step,dt_days,name,requested_control,target,active_type,active_control,bhp,bhp_bar
34,0.10840149490726583,PROD_SE,liquid_rate,-1.6203703703703704e-05,MultiRateWell,multi,,
34,0.10840149490726583,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
35,0.13550186863408228,INJ_SW,water_rate,1.1574074074074073e-05,BHPWell,bhp,33500000.0,335.0
35,0.13550186863408228,PROD_NE,bhp,15500000.0,BHPWell,bhp,15500000.0,155.0
35,0.13550186863408228,PROD_SE,liquid_rate,-1.6203703703703704e-05,MultiRateWell,multi,,
35,0.13550186863408228,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
36,0.1644981313659173,INJ_SW,water_rate,1.1574074074074073e-05,BHPWell,bhp,33500000.0,335.0
36,0.1644981313659173,PROD_NE,bhp,15500000.0,BHPWell,bhp,15500000.0,155.0
36,0.1644981313659173,PROD_SE,liquid_rate,-1.6203703703703704e-05,MultiRateWell,multi,,
36,0.1644981313659173,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
37,0.1,INJ_SW,water_rate,1.1574074074074073e-05,BHPWell,bhp,33500000.0,335.0
37,0.1,PROD_NE,bhp,15500000.0,BHPWell,bhp,15500000.0,155.0
37,0.1,PROD_SE,liquid_rate,-1.6203703703703704e-05,MultiRateWell,multi,,
37,0.1,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
38,0.125,INJ_SW,water_rate,1.1574074074074073e-05,BHPWell,bhp,33500000.0,335.0
38,0.125,PROD_NE,bhp,15500000.0,BHPWell,bhp,15500000.0,155.0
38,0.125,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
39,0.15625,INJ_SW,water_rate,1.1574074074074073e-05,BHPWell,bhp,33500000.0,335.0
39,0.15625,PROD_NE,bhp,15500000.0,BHPWell,bhp,15500000.0,155.0
39,0.15625,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
40,0.11875,INJ_SW,water_rate,1.1574074074074073e-05,BHPWell,bhp,33500000.0,335.0
40,0.11875,PROD_NE,bhp,15500000.0,BHPWell,bhp,15500000.0,155.0
40,0.11875,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
